group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,MALAT1,76.59767,1.3032395,0.0,0.0,1.0,0.9995698693478144
0,DPYD,57.26391,0.75144607,0.0,0.0,0.9968772519817439,0.9951072638313888
0,AOAH,47.808147,0.68780494,0.0,0.0,0.9901513331731924,0.9847841281789343
0,USP15,44.4635,0.7248928,0.0,0.0,0.9694931539754984,0.9741383945373407
0,AP003086.2,41.10682,1.7970172,0.0,0.0,0.6915685803507087,0.4578203129200495
0,PLXDC2,40.252056,0.58696526,0.0,0.0,0.9891904876291137,0.9845152965213183
0,DENND1A,39.079067,0.63517034,0.0,0.0,0.9562815277444151,0.953545889563955
0,ANKUB1,37.79373,1.948252,0.0,0.0,0.6084554407878934,0.35491155438464433
0,DPYD-AS1,37.485806,2.1710725,1.5689440793363289e-307,1.2749488957282398e-305,0.5628152774441508,0.2824345394913705
0,DLEU2,37.401886,0.6939919,3.641096550064278e-306,2.9393470537870867e-304,0.953158779726159,0.9562879724716382
1,RPS24,70.091415,1.2530434,0.0,0.0,0.9976298997265269,0.9260288244486891
1,RPLP1,69.359985,1.2022784,0.0,0.0,0.9996353691886964,0.9575157724141923
1,S100A9,68.55228,1.671995,0.0,0.0,0.9998176845943483,0.9831567980552179
1,S100A8,66.94105,1.7889946,0.0,0.0,0.9996353691886964,0.953001099727962
1,S100A6,66.779015,1.278291,0.0,0.0,0.9978122151321787,0.9110956763326966
1,RPL39,64.657166,1.1317585,0.0,0.0,0.9985414767547858,0.9248712160676044
1,S100A4,64.07129,1.2154272,0.0,0.0,0.9978122151321787,0.9154945881808184
1,FTL,64.06497,1.1651205,0.0,0.0,1.0,0.9776002778260114
1,TPT1,63.316372,1.1236885,0.0,0.0,0.9989061075660893,0.9509174046420096
1,LYZ,62.813076,1.1185902,0.0,0.0,1.0,0.9802627771025062
2,PID1,42.018147,1.5123119,0.0,0.0,0.910944935418083,0.6639053899395062
2,HLA-DRA,41.128582,1.0408608,0.0,0.0,0.9832313618853388,0.8658782494958853
2,HLA-DPB1,38.52148,1.2395998,0.0,0.0,0.8488556537502833,0.5865169764019837
2,LGALS2,36.818363,1.1249908,9.386781810279389e-297,5.759025310151662e-293,0.8538409245411285,0.5771431685650444
2,CD74,36.5541,0.8313437,1.5348572411629004e-292,7.533386311075748e-289,0.9827781554498074,0.8948716551310698
2,HLA-DPA1,35.7131,1.1543605,2.4752128300690434e-279,1.0124033010454066e-275,0.8552005438477226,0.6042836121859502
2,ITGA4,34.944305,1.0066587,1.5802137700802738e-267,5.540003733077142e-264,0.8944029005211874,0.689356368194452
2,UTRN,34.71315,0.6892276,4.989487987663851e-264,1.530587808815732e-260,0.9932019034670292,0.9572728759060439
2,XYLT1,33.805206,1.0340424,1.6536582478724104e-250,4.5091585623374244e-247,0.8706095626557897,0.6811270368957436
2,MTSS1,32.559612,1.3340129,1.530785124533457e-232,3.756699774117557e-229,0.6752775889417629,0.3743528257670718
3,RPS19,55.077766,2.3207133,0.0,0.0,0.9969719909159728,0.8873186884940069
3,LST1,52.300903,2.0957396,0.0,0.0,0.9939439818319455,0.8394664427965114
3,AIF1,52.25501,2.1787388,0.0,0.0,0.9947009841029523,0.8458094305302924
3,FCGR3A,51.222218,6.335534,0.0,0.0,0.8569265707797123,0.06772072198125087
3,FTL,49.162777,1.7191801,0.0,0.0,0.9984859954579863,0.9820437479595168
3,TCF7L2,47.88925,3.2358844,0.0,0.0,0.9553368660105981,0.5176997341541906
3,MTSS1,46.973854,3.2853432,0.0,0.0,0.9454958364875095,0.4011006949302738
3,HLA-DPA1,45.77405,2.4995313,0.0,0.0,0.9863739591218774,0.6323865491348352
3,NAP1L1,44.845177,1.9807383,0.0,0.0,0.9689629068887207,0.7048178723007322
3,FCER1G,44.510185,1.903173,0.0,0.0,0.979560938682816,0.780187491255072
4,VCAN,45.073433,0.97185296,0.0,0.0,0.9985398414685023,0.9627671415850401
4,MEGF9,39.323425,0.9196925,0.0,0.0,0.9645390070921985,0.883793410507569
4,DPYD,38.739162,0.497232,0.0,0.0,0.999165623696287,0.9944345503116652
4,LRRK2,36.43039,0.82035685,1.4065818164636226e-290,8.62973108945844e-287,0.9672507300792658,0.8875779162956366
4,ARHGAP24,35.537964,0.9631463,1.274972008822719e-276,6.25781761370367e-273,0.9315811430955361,0.7895703472840605
4,PLXDC2,34.71128,0.5100983,5.323951813275914e-264,2.1775850241600702e-260,0.9983312473925741,0.9819122885129118
4,PICALM,34.501415,0.50510347,7.6385401708416145e-261,2.6779630618946294e-257,0.9933249895702962,0.9799643811219947
4,VMP1,33.767513,0.5974938,5.915603484821027e-250,1.613053612455476e-246,0.9920734251147267,0.9705587711487088
4,PARP8,31.950726,0.7845168,5.278751239462714e-224,9.253273869118175e-221,0.9259491030454735,0.8036509349955476
4,CREB5,31.945797,0.84921473,6.17978173138963e-224,1.0110534898002194e-220,0.8929912390488111,0.7501113089937667
5,CD74,30.728144,2.1289163,2.3956778862257453e-207,5.879233100586601e-203,1.0,0.9103189157758197
5,HLA-DRB1,30.40537,2.7331927,4.6645480187142534e-203,5.723633646363325e-199,1.0,0.784899584022901
5,HLA-DPB1,30.044725,3.1480048,2.5587474466914475e-198,2.0931407029751604e-194,1.0,0.6308091425504316
5,HLA-DRA,29.842476,2.3794336,1.099171789538872e-195,6.743693721768365e-192,0.9975308641975309,0.8866574227311357
5,FCER1A,29.244684,6.9630146,5.246528226441461e-188,2.575100984101998e-184,0.8567901234567902,0.022319631435344635
5,HLA-DPA1,28.963879,2.9593284,1.876714183725813e-184,7.676073797135863e-181,0.9975308641975309,0.6466878382609473
5,RPS6,27.35706,1.6924675,8.900556491371928e-165,3.120407955067978e-161,0.9950617283950617,0.883705327190589
5,RPS2,27.192064,1.7475075,8.061583993181765e-163,2.472991659708421e-159,0.9975308641975309,0.9147023303663282
5,RPS18,27.13593,1.8311905,3.711615489091514e-162,1.0120750635310537e-158,0.9975308641975309,0.9047725544572169
5,RPL3,27.12374,1.7665191,5.168651450073785e-162,1.2684387523626076e-158,1.0,0.8646956210582816
6,UTY,49.178005,6.078052,0.0,0.0,0.6885582349923037,0.015375006005861721
6,NAMPT,48.907696,2.5419176,0.0,0.0,0.948178553104156,0.6544467400182579
6,RPS4Y1,46.272957,6.097891,0.0,0.0,0.64648537711647,0.012540239273530967
6,RPS10,40.44896,1.4502083,0.0,0.0,0.9240636223704464,0.7261327055205881
6,ACSL1,40.123714,1.96549,0.0,0.0,0.9045664443304259,0.5313025512900591
6,LINC00278,39.617493,5.8991346,0.0,0.0,0.5541303232426885,0.011627348291932927
6,NFKBIA,38.898407,2.0405502,0.0,0.0,0.8096459722934838,0.4052755489357613
6,JUNB,37.95144,1.6136912,0.0,0.0,0.8742945100051308,0.557728342862634
6,FOS,37.455296,1.3964993,4.925339787897451e-307,1.2087276373479133e-303,0.9610056439199589,0.8036803920626532
6,S100A9,37.033997,1.3585914,3.250053689120846e-300,7.250869780428606e-297,0.9994869163673679,0.9860183539134195
7,SKAP1,19.192677,9.45372,4.261216035286971e-82,3.4858167573992514e-78,0.9072847682119205,0.011410375480960595
7,CD247,17.663485,9.733715,8.013722270785721e-70,1.0350776749860651e-66,0.8344370860927153,0.006058997832913184
7,PRKCH,17.326736,4.618061,2.956379770344047e-67,3.2978416338187844e-64,0.8675496688741722,0.18835964795895804
7,BCL11B,16.433756,13.613878,1.096525063024445e-60,6.407100374210216e-58,0.7748344370860927,0.00044226261554110833
7,MALAT1,16.413092,1.7713035,1.5415262904328002e-60,8.797813184537524e-58,1.0,0.9996461899075672
7,PRKCQ,16.393223,9.318783,2.1380405394927024e-60,1.1659922862153424e-57,0.7748344370860927,0.005174472601830967
7,SYNE2,16.06987,8.46707,4.1495825788611046e-58,1.9583635782275073e-55,0.7615894039735099,0.010260492680553714
7,LINC00861,15.451271,14.049013,7.396974140373541e-54,2.709390184759807e-51,0.7284768211920529,0.0001769050462164433
7,CD96,14.975751,9.108362,1.0576577593215269e-50,3.165363301403609e-48,0.7086092715231788,0.0061474503560214055
7,RORA,14.921046,8.076782,2.4047266530275157e-50,7.025523427612888e-48,0.7086092715231788,0.013223652204679139
8,AFF3,15.374223,6.3055553,2.4375170422727686e-53,5.981910573441601e-49,1.0,0.19906529694457917
8,RALGPS2,14.984706,5.955425,9.243408114095199e-51,1.1342123926400515e-46,0.9753086419753086,0.19659627000573168
8,BANK1,14.939756,8.256282,1.8163751907351497e-50,1.4858554518610436e-46,0.9629629629629629,0.06106432696971033
8,MS4A1,14.404144,12.801273,4.873148552786921e-47,2.7653024173802885e-43,0.9259259259259259,0.0010581544023632115
8,OSBPL10,14.394116,10.467615,5.634045917811598e-47,2.7653024173802885e-43,0.9259259259259259,0.007098452449186544
8,PAX5,13.82521,11.440773,1.7958911279485884e-43,3.535288437213773e-40,0.8888888888888888,0.002116308804726423
8,EBF1,13.611788,9.833039,3.4080367037567215e-42,5.2272892966808565e-39,0.8765432098765432,0.005511220845641727
8,TPD52,13.369425,8.090672,9.124347700584834e-41,1.1785295627371178e-37,0.8641975308641975,0.013094660729244742
8,BACH2,13.361488,8.984001,1.0151327484288968e-40,1.2456186389596777e-37,0.8641975308641975,0.01781226577311406
8,ANGPTL1,13.310467,7.3532453,2.012205323069146e-40,2.351501468259043e-37,0.8641975308641975,0.01688638067104625
